STUDIENR,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,SEMESTER,SEMESTER_START,SEMESTER_END,DURATION_DAYS,ATTEMPT
STNR003309,2324,VIDEREGAENDE PROGRAMMERING,12,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003309,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,7,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003309,1904,DISKRET MATEMATIK,10,7-trinsskala,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR003309,2312,INDLEDENDE PROGRAMMERING,2,7-trinsskala,10,Mundtlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR003309,2322,MASKINNAER PROGRAMMERING,0,7-trinsskala,5,Skriftlig,intern censur,"Spring 2020, Spring 2020, Spring 2021",2020-02-01,2020-10-31,273,3
STNR003309,2369,SOFTWARE PROCESSER OG MONSTRE,BE,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR003309,62588,OPERATIVSYSTEMER,7,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR003309,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,10,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR003309,2326,ALGORITMER OG DATASTRUKTURER,-3,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR003309,62410,CDIO-PROJEKT,10,7-trinsskala,10,Mundtlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR003309,62999,INNOVATION PILOT,10,7-trinsskala,10,Afløsningsopgave,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR003309,2332,COMPILERTEKNIK,EM,7-trinsskala,5,Skriftlig,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR003309,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,7,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR003401,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,0,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR003401,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,0,7-trinsskala,5,Afløsningsopgave,intern censur,"Fall 2021, Spring 2021",2021-02-01,2021-08-02,182,2
STNR003418,2101,INDLEDENDE PROGRAMMERING,4,7-trinsskala,5,Skriftlig,intern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR003418,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,4,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR003418,2315,VERSIONSSTYRING OG TESTMETODER,10,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR003418,2324,VIDEREGAENDE PROGRAMMERING,12,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR003418,2326,ALGORITMER OG DATASTRUKTURER,7,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR003418,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,2,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR003418,62577,DATAKOMMUNIKATION,4,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR003418,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,7,7-trinsskala,5,Afløsningsopgave,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR003418,2312,INDLEDENDE PROGRAMMERING,10,7-trinsskala,10,Mundtlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR003418,2323,INTRODUKTION TIL STATISTIK,4,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR003418,2369,SOFTWARE PROCESSER OG MONSTRE,BE,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR003418,1035,MATEMATIK 2,2,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003418,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,10,7-trinsskala,5,Skriftlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003418,2346,DISTRIBUEREDE OG PARALLELLE SYSTEMER,2,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003418,62410,CDIO-PROJEKT,10,7-trinsskala,10,Mundtlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003418,62413,AVANCERET OBJEKTORIENTERET PROGRAMMERING MED C# OG .NET,10,7-trinsskala,5,Mundtlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003418,2332,COMPILERTEKNIK,7,7-trinsskala,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
